Name
"GALAXY INSTITUTE OF MANAGEMENT, CHENNAI"
"GALGOTIAS UNIVERSITY, GREATER NOIDA - [GU]"
"GALGOTIAS UNIVERSITY SCHOOL OF BUSINESS, GREATER NOIDA - [GBS]"
"GARWARE INSTITUTE OF CAREER EDUCATION AND DEVELOPMENT, MUMBAI - [GICED]"
"HINDUSTAN FIRST GRADE COLLEGE, MYSORE"
"HINDUSTAN INSTITUTE OF TECHNOLOGY AND SCIENCE, CHENNAI - [HITS]"
"IIKM BUSINESS SCHOOL, CHENNAI"
"IMPERIAL INSTITUTE OF MANAGEMENT AND TECHNOLOGY, NAINITAL - [IIMT]"
"INDUS UNIVERSITY, AHMEDABAD"
"IZEE BUSINESS SCHOOL, BANGALORE - [IZEE]"
"JAGANNATH UNIVERSITY, JAIPUR"
"KRISTU JAYANTI COLLEGE, BANGALORE - [KJC]"
"RIMT UNIVERSITY, GOBINDGARH"
"SAMALKHA GROUP OF INSTITUTIONS, PANIPAT - [SGI]"
"SIR SITARAM AND LADY SHANTABAI PATKAR COLLEGE OF ARTS AND SCIENCE, MUMBAI - [SSLSPCAS]"
"SURESH GYAN VIHAR UNIVERSITY, JAIPUR - [SGVU]"
"THE IIS UNIVERSITY, JAIPUR - [IISU]"
"UNIVERSITY OF PETROLEUM AND ENERGY STUDIES, DEHRADUN - [UPES]"
"WESTERN INDIA INSTITUTE OF AERONAUTICS, AHMEDABAD - [WIIA]"
